year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour,airline
2022,1,1,1,2359,2,604,618,-14,UA,555,N405UA,SEA,IAH,221,1874,23,59,2022-01-01T23:00:00Z,United Air Lines Inc.
2022,1,1,1,2250,71,242,142,60,AS,72,N265AK,SEA,FAI,193,1533,22,50,2022-01-01T22:00:00Z,Alaska Airlines Inc.
2022,1,1,10,2355,15,759,730,29,AS,270,N274AK,SEA,ATL,261,2182,23,55,2022-01-01T23:00:00Z,Alaska Airlines Inc.
2022,1,1,25,2350,35,606,550,16,AS,7,N281AK,SEA,ORD,193,1721,23,50,2022-01-01T23:00:00Z,Alaska Airlines Inc.
2022,1,1,35,2349,46,616,545,31,UA,507,N426UA,PDX,ORD,196,1739,23,49,2022-01-01T23:00:00Z,United Air Lines Inc.
2022,1,1,51,2352,59,840,758,42,B6,366,N625JB,PDX,JFK,269,2454,23,52,2022-01-01T23:00:00Z,JetBlue Airways
2022,1,1,104,43,21,936,930,6,AA,501,N413AN,SEA,MIA,312,2724,0,43,2022-01-01T00:00:00Z,American Airlines Inc.
2022,1,1,131,2251,160,216,2347,149,QX,607,N444QX,SEA,PSC,32,172,22,51,2022-01-01T22:00:00Z,Horizon Air
2022,1,1,142,2305,157,900,657,123,UA,780,N37419,SEA,IAD,240,2306,23,5,2022-01-01T23:00:00Z,United Air Lines Inc.
2022,1,1,255,2355,180,831,549,162,UA,784,N429UA,SEA,ORD,189,1721,23,55,2022-01-01T23:00:00Z,United Air Lines Inc.
2022,1,1,513,505,8,852,846,6,UA,850,N24202,SEA,DEN,133,1024,5,5,2022-01-01T05:00:00Z,United Air Lines Inc.
2022,1,1,514,515,-1,831,845,-14,WN,558,N7738A,PDX,PHX,121,1009,5,15,2022-01-01T05:00:00Z,Southwest Airlines Co.
2022,1,1,532,535,-3,1109,1130,-21,WN,874,N8683D,PDX,MDW,205,1751,5,35,2022-01-01T05:00:00Z,Southwest Airlines Co.
2022,1,1,537,525,12,729,730,-1,WN,349,N289CT,SEA,OAK,92,672,5,25,2022-01-01T05:00:00Z,Southwest Airlines Co.
2022,1,1,539,540,-1,1113,1128,-15,AA,658,N521UW,PDX,DFW,194,1616,5,40,2022-01-01T05:00:00Z,American Airlines Inc.
2022,1,1,542,547,-5,1135,1155,-20,AA,514,N922AN,SEA,ORD,197,1721,5,47,2022-01-01T05:00:00Z,American Airlines Inc.
2022,1,1,553,530,23,937,915,22,WN,954,N408WN,SEA,PHX,130,1107,5,30,2022-01-01T05:00:00Z,Southwest Airlines Co.
2022,1,1,554,600,-6,837,832,5,AS,370,N835VA,SEA,LAS,111,867,6,0,2022-01-01T06:00:00Z,Alaska Airlines Inc.
2022,1,1,556,554,2,834,855,-21,DL,461,N801DZ,PDX,SLC,84,630,5,54,2022-01-01T05:00:00Z,Delta Air Lines Inc.
2022,1,1,557,600,-3,637,654,-17,AS,433,N409AS,SEA,PDX,23,129,6,0,2022-01-01T06:00:00Z,Alaska Airlines Inc.
2022,1,1,558,600,-2,752,750,2,QX,751,N626QX,PDX,SJC,83,569,6,0,2022-01-01T06:00:00Z,Horizon Air
2022,1,1,558,600,-2,1343,1358,-15,AA,208,N977UY,SEA,CLT,261,2279,6,0,2022-01-01T06:00:00Z,American Airlines Inc.
2022,1,1,559,600,-1,1322,1330,-8,DL,321,N844MH,PDX,ATL,244,2172,6,0,2022-01-01T06:00:00Z,Delta Air Lines Inc.
2022,1,1,600,600,0,1146,1130,16,OO,947,N405SY,PDX,DFW,201,1616,6,0,2022-01-01T06:00:00Z,SkyWest Airlines Inc.
2022,1,1,602,600,2,932,925,7,WN,841,N754SW,PDX,DEN,125,991,6,0,2022-01-01T06:00:00Z,Southwest Airlines Co.
2022,1,1,603,600,3,824,845,-21,AS,224,N523AS,SEA,SNA,120,978,6,0,2022-01-01T06:00:00Z,Alaska Airlines Inc.
2022,1,1,604,600,4,1304,1314,-10,DL,448,N829DN,SEA,DTW,218,1927,6,0,2022-01-01T06:00:00Z,Delta Air Lines Inc.
2022,1,1,604,605,-1,739,755,-16,WN,862,N412WN,PDX,OAK,76,543,6,5,2022-01-01T06:00:00Z,Southwest Airlines Co.
2022,1,1,606,600,6,855,848,7,AS,373,N586AS,SEA,LAX,121,954,6,0,2022-01-01T06:00:00Z,Alaska Airlines Inc.
2022,1,1,609,605,4,705,705,0,QX,755,N623QX,PDX,SEA,33,129,6,5,2022-01-01T06:00:00Z,Horizon Air
2022,1,1,609,610,-1,801,820,-19,WN,978,N441WN,PDX,LAS,98,763,6,10,2022-01-01T06:00:00Z,Southwest Airlines Co.
2022,1,1,614,550,24,949,920,29,WN,1005,N240WN,SEA,DEN,132,1024,5,50,2022-01-01T05:00:00Z,Southwest Airlines Co.
2022,1,1,614,620,-6,822,845,-23,AS,214,N264AK,PDX,SAN,114,933,6,20,2022-01-01T06:00:00Z,Alaska Airlines Inc.
2022,1,1,616,600,16,804,752,12,UA,722,N444UA,PDX,SFO,79,550,6,0,2022-01-01T06:00:00Z,United Air Lines Inc.
2022,1,1,622,615,7,1133,1128,5,DL,351,N114DN,PDX,MSP,174,1426,6,15,2022-01-01T06:00:00Z,Delta Air Lines Inc.
2022,1,1,630,600,30,1005,952,13,AS,348,N520AS,SEA,PHX,135,1107,6,0,2022-01-01T06:00:00Z,Alaska Airlines Inc.
2022,1,1,641,600,41,841,835,6,AS,196,N479AS,SEA,ONT,115,956,6,0,2022-01-01T06:00:00Z,Alaska Airlines Inc.
2022,1,1,643,610,33,932,905,27,AS,92,N566AS,PDX,ANC,208,1542,6,10,2022-01-01T06:00:00Z,Alaska Airlines Inc.
2022,1,1,643,600,43,846,815,31,AS,219,N565AS,SEA,SFO,94,679,6,0,2022-01-01T06:00:00Z,Alaska Airlines Inc.
2022,1,1,644,645,-1,912,929,-17,AS,471,N265AK,SEA,PSP,123,987,6,45,2022-01-01T06:00:00Z,Alaska Airlines Inc.
2022,1,1,647,650,-3,908,915,-7,OO,1080,N117SY,SEA,SFO,101,679,6,50,2022-01-01T06:00:00Z,SkyWest Airlines Inc.
2022,1,1,651,700,-9,1236,1258,-22,UA,535,N406UA,PDX,ORD,202,1739,7,0,2022-01-01T07:00:00Z,United Air Lines Inc.
2022,1,1,652,645,7,1239,1252,-13,AS,22,N266AK,SEA,ORD,200,1721,6,45,2022-01-01T06:00:00Z,Alaska Airlines Inc.
2022,1,1,653,700,-7,1050,1114,-24,AS,324,N291BT,PDX,HNL,317,2603,7,0,2022-01-01T07:00:00Z,Alaska Airlines Inc.
2022,1,1,654,700,-6,944,946,-2,AS,193,N638VA,SEA,SNA,132,978,7,0,2022-01-01T07:00:00Z,Alaska Airlines Inc.
2022,1,1,655,615,40,1442,1354,48,DL,233,N543US,SEA,ATL,251,2182,6,15,2022-01-01T06:00:00Z,Delta Air Lines Inc.
2022,1,1,656,700,-4,830,848,-18,QX,752,N637QX,PDX,OAK,78,543,7,0,2022-01-01T07:00:00Z,Horizon Air
2022,1,1,657,700,-3,913,925,-12,AS,217,N524AS,PDX,SNA,115,859,7,0,2022-01-01T07:00:00Z,Alaska Airlines Inc.
2022,1,1,658,700,-2,1236,1301,-25,UA,541,N69826,SEA,ORD,198,1721,7,0,2022-01-01T07:00:00Z,United Air Lines Inc.
2022,1,1,659,705,-6,1453,1511,-18,DL,530,N3763D,PDX,JFK,276,2454,7,5,2022-01-01T07:00:00Z,Delta Air Lines Inc.
2022,1,1,703,700,3,1216,1222,-6,QX,602,N638QX,SEA,ICT,177,1430,7,0,2022-01-01T07:00:00Z,Horizon Air
2022,1,1,703,704,-1,955,933,22,QX,714,N402QX,SEA,MSO,65,389,7,4,2022-01-01T07:00:00Z,Horizon Air
2022,1,1,705,650,15,922,915,7,WN,675,N8630B,SEA,LAS,108,867,6,50,2022-01-01T06:00:00Z,Southwest Airlines Co.
2022,1,1,706,700,6,1042,1115,-33,AS,311,N462AS,PDX,KOA,317,2607,7,0,2022-01-01T07:00:00Z,Alaska Airlines Inc.
2022,1,1,707,700,7,923,930,-7,OO,887,N613SK,PDX,LAX,107,834,7,0,2022-01-01T07:00:00Z,SkyWest Airlines Inc.
2022,1,1,707,700,7,801,807,-6,OO,992,N279SY,PDX,SEA,35,129,7,0,2022-01-01T07:00:00Z,SkyWest Airlines Inc.
2022,1,1,721,723,-2,930,935,-5,OO,1040,N614CZ,PDX,LAX,112,834,7,23,2022-01-01T07:00:00Z,SkyWest Airlines Inc.
2022,1,1,721,720,1,900,923,-23,QX,727,N639QX,SEA,STS,88,618,7,20,2022-01-01T07:00:00Z,Horizon Air
2022,1,1,724,716,8,1106,1106,0,DL,424,N139DU,SEA,PHX,129,1107,7,16,2022-01-01T07:00:00Z,Delta Air Lines Inc.
2022,1,1,728,725,3,1547,1534,13,AS,19,N292AK,PDX,BOS,288,2537,7,25,2022-01-01T07:00:00Z,Alaska Airlines Inc.
2022,1,1,728,700,28,1008,950,18,AS,42,N931AK,SEA,ANC,194,1448,7,0,2022-01-01T07:00:00Z,Alaska Airlines Inc.
2022,1,1,731,735,-4,1043,1105,-22,WN,982,N7854B,PDX,PHX,119,1009,7,35,2022-01-01T07:00:00Z,Southwest Airlines Co.
2022,1,1,734,710,24,1530,1527,3,DL,181,N838MH,SEA,JFK,275,2422,7,10,2022-01-01T07:00:00Z,Delta Air Lines Inc.
2022,1,1,736,715,21,1336,1330,6,UA,557,N37522,SEA,IAH,221,1874,7,15,2022-01-01T07:00:00Z,United Air Lines Inc.
2022,1,1,736,705,31,940,920,20,AS,421,N530AS,SEA,SJC,99,696,7,5,2022-01-01T07:00:00Z,Alaska Airlines Inc.
2022,1,1,737,740,-3,839,840,-1,AS,414,N435AS,SEA,PDX,28,129,7,40,2022-01-01T07:00:00Z,Alaska Airlines Inc.
2022,1,1,739,741,-2,1032,1025,7,OO,993,N308SY,SEA,ONT,121,956,7,41,2022-01-01T07:00:00Z,SkyWest Airlines Inc.
2022,1,1,739,707,32,1045,1019,26,DL,385,N3751B,SEA,SLC,86,689,7,7,2022-01-01T07:00:00Z,Delta Air Lines Inc.
2022,1,1,740,745,-5,957,1015,-18,QX,795,N445QX,SEA,BOI,63,399,7,45,2022-01-01T07:00:00Z,Horizon Air
2022,1,1,741,715,26,1543,1538,5,DL,191,N722TW,SEA,BOS,271,2496,7,15,2022-01-01T07:00:00Z,Delta Air Lines Inc.
2022,1,1,744,745,-1,1512,1514,-2,AS,361,N527AS,SEA,CMH,240,2016,7,45,2022-01-01T07:00:00Z,Alaska Airlines Inc.
2022,1,1,745,747,-2,1326,1345,-19,AA,532,N165NN,SEA,DFW,197,1660,7,47,2022-01-01T07:00:00Z,American Airlines Inc.
2022,1,1,747,740,7,1221,1206,15,DL,173,N188DN,SEA,HNL,359,2677,7,40,2022-01-01T07:00:00Z,Delta Air Lines Inc.
2022,1,1,750,745,5,1328,1320,8,AS,476,N486AS,SEA,OKC,182,1519,7,45,2022-01-01T07:00:00Z,Alaska Airlines Inc.
2022,1,1,751,731,20,1157,1119,38,DL,527,N118DU,SEA,DEN,133,1024,7,31,2022-01-01T07:00:00Z,Delta Air Lines Inc.
2022,1,1,753,800,-7,931,950,-19,UA,542,N815UA,PDX,SFO,76,550,8,0,2022-01-01T08:00:00Z,United Air Lines Inc.
2022,1,1,753,800,-7,947,1010,-23,AS,465,N630VA,PDX,LAS,98,763,8,0,2022-01-01T08:00:00Z,Alaska Airlines Inc.
2022,1,1,755,715,40,1309,1242,27,DL,273,N857DZ,SEA,MSP,167,1399,7,15,2022-01-01T07:00:00Z,Delta Air Lines Inc.
2022,1,1,755,705,50,1039,935,64,QX,596,N634QX,SEA,SBA,118,908,7,5,2022-01-01T07:00:00Z,Horizon Air
2022,1,1,759,800,-1,918,930,-12,WN,990,N727SW,PDX,SMF,66,479,8,0,2022-01-01T08:00:00Z,Southwest Airlines Co.
2022,1,1,800,801,-1,1018,1050,-32,DL,326,N853DN,SEA,LAX,118,954,8,1,2022-01-01T08:00:00Z,Delta Air Lines Inc.
2022,1,1,800,750,10,1347,1345,2,WN,673,N8670A,SEA,DAL,203,1670,7,50,2022-01-01T07:00:00Z,Southwest Airlines Co.
2022,1,1,800,700,60,1149,1100,49,AS,251,N317AS,SEA,TUS,142,1216,7,0,2022-01-01T07:00:00Z,Alaska Airlines Inc.
2022,1,1,803,800,3,1226,1220,6,HA,16,N378HA,SEA,HNL,353,2677,8,0,2022-01-01T08:00:00Z,Hawaiian Airlines Inc.
2022,1,1,805,802,3,1228,1230,-2,AS,85,N924AK,SEA,HNL,348,2677,8,2,2022-01-01T08:00:00Z,Alaska Airlines Inc.
2022,1,1,806,715,51,1034,1002,32,DL,505,N3771K,SEA,SAN,125,1050,7,15,2022-01-01T07:00:00Z,Delta Air Lines Inc.
2022,1,1,806,815,-9,1345,1418,-33,AA,691,N841NN,PDX,ORD,201,1739,8,15,2022-01-01T08:00:00Z,American Airlines Inc.
2022,1,1,809,800,9,923,900,23,AS,136,N298AK,PDX,SEA,31,129,8,0,2022-01-01T08:00:00Z,Alaska Airlines Inc.
2022,1,1,812,817,-5,1616,1624,-8,AS,20,N472AS,SEA,PHL,280,2378,8,17,2022-01-01T08:00:00Z,Alaska Airlines Inc.
2022,1,1,813,815,-2,1223,1245,-22,AS,304,N915AK,SEA,KOA,317,2688,8,15,2022-01-01T08:00:00Z,Alaska Airlines Inc.
2022,1,1,814,800,14,920,908,12,QX,649,N453QX,PDX,GEG,53,279,8,0,2022-01-01T08:00:00Z,Horizon Air
2022,1,1,816,815,1,1824,1700,84,AS,65,N546AS,SEA,FLL,316,2717,8,15,2022-01-01T08:00:00Z,Alaska Airlines Inc.
2022,1,1,818,820,-2,1430,1420,10,AS,402,N260AK,SEA,AUS,219,1770,8,20,2022-01-01T08:00:00Z,Alaska Airlines Inc.
2022,1,1,819,815,4,1210,1240,-30,AS,312,N562AS,SEA,OGG,320,2640,8,15,2022-01-01T08:00:00Z,Alaska Airlines Inc.
2022,1,1,824,830,-6,1149,1203,-14,AA,229,N926UW,PDX,PHX,123,1009,8,30,2022-01-01T08:00:00Z,American Airlines Inc.
2022,1,1,825,831,-6,1435,1447,-12,AS,247,N481AS,SEA,IAH,228,1874,8,31,2022-01-01T08:00:00Z,Alaska Airlines Inc.
2022,1,1,827,820,7,1156,1215,-19,WN,605,N8600F,SEA,PHX,129,1107,8,20,2022-01-01T08:00:00Z,Southwest Airlines Co.
2022,1,1,831,835,-4,1318,1255,23,AS,306,N568AS,PDX,LIH,316,2631,8,35,2022-01-01T08:00:00Z,Alaska Airlines Inc.
2022,1,1,835,830,5,1232,1235,-3,HA,26,N214HA,PDX,OGG,322,2562,8,30,2022-01-01T08:00:00Z,Hawaiian Airlines Inc.
2022,1,1,837,839,-2,1421,1445,-24,AA,840,N303RG,SEA,DFW,199,1660,8,39,2022-01-01T08:00:00Z,American Airlines Inc.
2022,1,1,837,830,7,1421,1423,-2,AS,261,N319AS,SEA,DFW,197,1660,8,30,2022-01-01T08:00:00Z,Alaska Airlines Inc.
2022,1,1,839,840,-1,1124,1128,-4,QX,696,N436QX,SEA,BZN,84,543,8,40,2022-01-01T08:00:00Z,Horizon Air
2022,1,1,839,840,-1,1256,1225,31,WN,1009,N497WN,SEA,DEN,132,1024,8,40,2022-01-01T08:00:00Z,Southwest Airlines Co.
2022,1,1,839,845,-6,1045,1100,-15,AS,31,N559AS,PDX,ONT,105,838,8,45,2022-01-01T08:00:00Z,Alaska Airlines Inc.
2022,1,1,840,840,0,1046,1053,-7,QX,758,N628QX,PDX,BOI,49,344,8,40,2022-01-01T08:00:00Z,Horizon Air
2022,1,1,840,829,11,1626,1628,-2,AS,271,N538AS,SEA,RDU,269,2354,8,29,2022-01-01T08:00:00Z,Alaska Airlines Inc.
2022,1,1,842,845,-3,1724,1723,1,AS,171,N464AS,SEA,RSW,316,2623,8,45,2022-01-01T08:00:00Z,Alaska Airlines Inc.
2022,1,1,845,745,60,1633,1529,64,DL,354,N537US,SEA,ATL,250,2182,7,45,2022-01-01T07:00:00Z,Delta Air Lines Inc.
2022,1,1,847,805,42,1229,1130,59,WN,313,N8619F,PDX,DEN,129,991,8,5,2022-01-01T08:00:00Z,Southwest Airlines Co.
2022,1,1,852,715,97,1122,925,117,OO,1003,N277SY,SEA,SFO,97,679,7,15,2022-01-01T07:00:00Z,SkyWest Airlines Inc.
2022,1,1,852,825,27,1422,1405,17,WN,888,N8560Z,PDX,STL,198,1708,8,25,2022-01-01T08:00:00Z,Southwest Airlines Co.
2022,1,1,852,850,2,1137,1135,2,AS,469,N838VA,SEA,SAN,128,1050,8,50,2022-01-01T08:00:00Z,Alaska Airlines Inc.
2022,1,1,855,1421,1114,1430,2016,1094,UA,718,N47512,PDX,ORD,188,1739,14,21,2022-01-01T14:00:00Z,United Air Lines Inc.
2022,1,1,855,900,-5,1223,1227,-4,UA,631,N38473,PDX,DEN,130,991,9,0,2022-01-01T09:00:00Z,United Air Lines Inc.
2022,1,1,857,834,23,1648,1630,18,AS,2,N924VA,SEA,DCA,261,2329,8,34,2022-01-01T08:00:00Z,Alaska Airlines Inc.
2022,1,1,858,900,-2,1056,1112,-16,QX,590,N635QX,SEA,MRY,106,750,9,0,2022-01-01T09:00:00Z,Horizon Air
2022,1,1,858,700,118,954,803,111,AS,288,N926VA,PDX,SEA,34,129,7,0,2022-01-01T07:00:00Z,Alaska Airlines Inc.
2022,1,1,859,900,-1,1015,1005,10,QX,723,N400QX,SEA,GEG,46,224,9,0,2022-01-01T09:00:00Z,Horizon Air
2022,1,1,901,638,143,1234,1035,119,AA,221,N953NN,SEA,PHX,138,1107,6,38,2022-01-01T06:00:00Z,American Airlines Inc.
2022,1,1,906,900,6,1045,1055,-10,WN,879,N8663A,SEA,SMF,79,605,9,0,2022-01-01T09:00:00Z,Southwest Airlines Co.
2022,1,1,907,915,-8,1323,1335,-12,HA,18,N399HA,SEA,OGG,321,2640,9,15,2022-01-01T09:00:00Z,Hawaiian Airlines Inc.
2022,1,1,908,900,8,1156,1150,6,AS,45,N920AK,SEA,ANC,193,1448,9,0,2022-01-01T09:00:00Z,Alaska Airlines Inc.
2022,1,1,913,855,18,1732,1725,7,AS,6,N290AK,SEA,MCO,298,2554,8,55,2022-01-01T08:00:00Z,Alaska Airlines Inc.
2022,1,1,914,915,-1,1034,1045,-11,AS,497,N407AS,PDX,SMF,66,479,9,15,2022-01-01T09:00:00Z,Alaska Airlines Inc.
2022,1,1,915,900,15,1118,1115,3,AS,199,N564AS,SEA,SFO,93,679,9,0,2022-01-01T09:00:00Z,Alaska Airlines Inc.
2022,1,1,924,930,-6,1312,1340,-28,HA,14,N217HA,PDX,HNL,326,2603,9,30,2022-01-01T09:00:00Z,Hawaiian Airlines Inc.
2022,1,1,928,800,88,1736,1622,74,AS,282,N929VA,PDX,MCO,288,2534,8,0,2022-01-01T08:00:00Z,Alaska Airlines Inc.
2022,1,1,929,933,-4,1130,1152,-22,UA,597,N47517,SEA,SFO,96,679,9,33,2022-01-01T09:00:00Z,United Air Lines Inc.
2022,1,1,929,920,9,1725,1730,-5,AS,17,N263AK,PDX,EWR,282,2434,9,20,2022-01-01T09:00:00Z,Alaska Airlines Inc.
2022,1,1,934,920,14,1044,1030,14,DL,881,N383DN,PDX,SEA,37,129,9,20,2022-01-01T09:00:00Z,Delta Air Lines Inc.
2022,1,1,934,925,9,1130,1138,-8,NK,105,N616NK,PDX,LAS,102,763,9,25,2022-01-01T09:00:00Z,Spirit Air Lines
2022,1,1,934,930,4,1214,1220,-6,AS,419,N926AK,SEA,ANC,191,1448,9,30,2022-01-01T09:00:00Z,Alaska Airlines Inc.
2022,1,1,937,930,7,1037,1034,3,OO,1021,N265SY,SEA,GEG,40,224,9,30,2022-01-01T09:00:00Z,SkyWest Airlines Inc.
2022,1,1,944,949,-5,1140,1222,-42,DL,709,N3755D,SEA,SFO,95,679,9,49,2022-01-01T09:00:00Z,Delta Air Lines Inc.
2022,1,1,945,943,2,1059,1109,-10,OO,964,N279SY,SEA,MFR,55,352,9,43,2022-01-01T09:00:00Z,SkyWest Airlines Inc.
2022,1,1,946,950,-4,1025,1039,-14,QX,707,N435QX,SEA,BLI,23,93,9,50,2022-01-01T09:00:00Z,Horizon Air
2022,1,1,947,950,-3,1203,1216,-13,QX,575,N401QX,SEA,FAT,118,748,9,50,2022-01-01T09:00:00Z,Horizon Air
2022,1,1,947,950,-3,1147,1200,-13,QX,661,N629QX,SEA,OAK,99,672,9,50,2022-01-01T09:00:00Z,Horizon Air
2022,1,1,949,950,-1,1044,1049,-5,QX,623,N444QX,SEA,PSC,35,172,9,50,2022-01-01T09:00:00Z,Horizon Air
2022,1,1,951,950,1,1224,1235,-11,AS,478,N581AS,SEA,SNA,131,978,9,50,2022-01-01T09:00:00Z,Alaska Airlines Inc.
2022,1,1,953,953,0,1133,1145,-12,OO,1001,N270SY,SEA,SMF,81,605,9,53,2022-01-01T09:00:00Z,SkyWest Airlines Inc.
2022,1,1,954,950,4,1251,1235,16,AS,169,N459AS,SEA,LAX,122,954,9,50,2022-01-01T09:00:00Z,Alaska Airlines Inc.
2022,1,1,957,950,7,1050,1059,-9,QX,609,N623QX,SEA,RDM,37,228,9,50,2022-01-01T09:00:00Z,Horizon Air
2022,1,1,958,1000,-2,1057,1110,-13,QX,740,N447QX,SEA,EUG,43,234,10,0,2022-01-01T10:00:00Z,Horizon Air
2022,1,1,958,955,3,1548,1545,3,WN,890,N7824A,SEA,STL,211,1709,9,55,2022-01-01T09:00:00Z,Southwest Airlines Co.
2022,1,1,959,902,57,1845,1725,80,AS,279,N563AS,SEA,TPA,293,2520,9,2,2022-01-01T09:00:00Z,Alaska Airlines Inc.
2022,1,1,1001,950,11,1302,1256,6,QX,599,N442QX,SEA,BIL,104,664,9,50,2022-01-01T09:00:00Z,Horizon Air
2022,1,1,1006,1010,-4,1344,1350,-6,OO,956,N182SY,PDX,ABQ,143,1111,10,10,2022-01-01T10:00:00Z,SkyWest Airlines Inc.
2022,1,1,1008,955,13,1748,1740,8,AS,276,N921VA,PDX,DCA,258,2350,9,55,2022-01-01T09:00:00Z,Alaska Airlines Inc.
2022,1,1,1009,950,19,1054,1053,1,OO,1027,N299SY,SEA,PDX,28,129,9,50,2022-01-01T09:00:00Z,SkyWest Airlines Inc.
2022,1,1,1010,700,190,1506,1110,236,AS,292,N560AS,PDX,OGG,313,2562,7,0,2022-01-01T07:00:00Z,Alaska Airlines Inc.
2022,1,1,1014,1015,-1,1233,1220,13,OO,967,N293SY,PDX,LAX,117,834,10,15,2022-01-01T10:00:00Z,SkyWest Airlines Inc.
2022,1,1,1014,1020,-6,1717,1728,-11,AS,185,N293AK,SEA,IND,215,1866,10,20,2022-01-01T10:00:00Z,Alaska Airlines Inc.
2022,1,1,1017,1021,-4,1237,1250,-13,QX,679,N403QX,SEA,FCA,62,379,10,21,2022-01-01T10:00:00Z,Horizon Air
2022,1,1,1017,1025,-8,1153,1215,-22,AS,249,N836VA,PDX,SFO,79,550,10,25,2022-01-01T10:00:00Z,Alaska Airlines Inc.
2022,1,1,1018,1020,-2,1445,1440,5,HA,10,N390HA,SEA,HNL,335,2677,10,20,2022-01-01T10:00:00Z,Hawaiian Airlines Inc.
